gid,clave_de_centro_de_trabajo,nombre_de_centro_de_trabajo,latitud,longitud,tipo_de_vialidad,nombre_de_calle,numero_exterior,numero_interior,nombre_del_proveedor_mc,tipo_de_conectividad,estatus
114965T,09NDI0460T,CENDI GDF S.G.P. Y V.N. NO. 1,19.42536778,-99.11746972,CALLE,CECILIO ROBELO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114964T,09NDI0463Q,CENDI SP S.C.J. DE LA NACION GLORIA LEON ORANTES,19.42901972,-99.11550222,PROLONGACIÓN,ING. EDUARDO MOLINA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114963T,09NDI0167P,CENDI GDF LUZ OLIVEROS SARMINA,19.45063222,-99.11025889,CALLE,ING. EDUARDO MOLINA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114962T,09NDI0604Z,CENDI GDF NO. 28,19.42250611,-99.12149167,PROLONGACIÓN,LUCAS ALAMAN,11,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114961T,09NDI0321S,ESTANCIA PARA EL BIENESTAR Y DESARROLLO INFANTIL NÚMERO 43,19.42403417,-99.11857833,CALLE,STAND DE TIRO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114960T,09NDI0242F,CENTRO DE DESARROLLO INFANTIL BENITO JUAREZ GARCIA,19.42846611,-99.12378056,CALLE,SANTA ESCUELA,104,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114959T,09DSN0030J,FRAY JOSE SERVANDO TERESA DE MIER NORIEGA Y GUERRA,19.42234611,-99.11846889,CALLE,SUR 103,1034,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114958T,09DPR2100A,PRESIDENTE JOHN F KENNEDY,19.4224425,-99.1187125,CALLE,FRAY SERVANDO TERESA DE MIER,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114957T,09NDI0151O,CENDI GDF AMERICA,19.40483306,-99.20230778,CALLE,SUR 128,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
114956T,09NDI0689W,CENDI NIÑOS HEROES DE CHAPULTEPEC NO. TRES,19.407269,-99.190754,CALLE,CAMPO MILITAR,1,A,TOTAL PLAY,TERRESTRE,EN PROCESO DE INSTALACIÓN
